x,exact,ftcs,lax,upwind
0,1,2.16509e+25,0.677843,0.905916
0.05,1,-2.62331e+25,0.654092,0.904818
0.1,1,-3.25623e+25,0.676418,0.901527
0.15,1,3.01038e+25,0.650567,0.896047
0.2,1,2.87667e+25,0.670718,0.888387
0.25,1,-3.57008e+25,0.64282,0.878561
0.3,1,-1.02953e+25,0.660839,0.86659
0.35,1,3.98637e+25,0.630988,0.852503
0.4,1,-1.94345e+25,0.646949,0.83634
0.45,1,-3.69396e+25,0.615283,0.818153
0.5,1,5.39852e+25,0.629287,0.798008
0.55,1,2.10035e+25,0.595984,0.775989
0.6,1,-8.47048e+25,0.608155,0.752195
0.65,1,1.15078e+25,0.573434,0.726743
0.7,1,1.01987e+26,0.583911,0.699772
0.75,1,-5.96354e+25,0.548024,0.671436
0.8,1,-9.69295e+25,0.556957,0.641907
0.85,1,1.16928e+26,0.520189,0.611374
0.9,1,6.31921e+25,0.527731,0.580038
0.95,1,-1.71991e+26,0.49039,0.548111
1,1,1.2612e+24,0.496696,0.515816
1.05,0,2.10413e+26,0.459106,0.483375
1.1,0,-9.29373e+25,0.464328,0.451013
1.15,0,-2.17562e+26,0.426822,0.418952
1.2,0,2.02443e+26,0.431103,0.387403
1.25,0,1.81554e+26,0.394011,0.356569
1.3,0,-3.15149e+26,0.397487,0.326636
1.35,0,-9.57483e+25,0.361132,0.297773
1.4,0,4.12826e+26,0.363926,0.270127
1.45,0,-3.9659e+25,0.328613,0.243824
1.5,0,-4.75999e+26,0.330836,0.218966
1.55,0,2.17132e+26,0.296841,0.19563
1.6,0,4.86604e+26,0.298593,0.173868
1.65,0,-4.22314e+26,0.266164,0.15371
1.7,0,-4.3052e+26,0.26753,0.135161
1.75,0,6.35395e+26,0.236875,0.118207
1.8,0,2.9966e+26,0.23793,0.102813
1.85,0,-8.331e+26,0.209216,0.088929
1.9,0,-9.33515e+25,0.210022,0.0764904
1.95,0,9.91096e+26,0.183372,0.0654207
2,0,-1.81094e+26,0.183982,0.055635
2.05,0,-1.08663e+27,0.159476,0.0470418
2.1,0,5.08695e+26,0.159932,0.0395461
2.15,0,1.10118e+27,0.137605,0.0330514
2.2,0,-8.68028e+26,0.137943,0.0274616
2.25,0,-1.02284e+27,0.117791,0.0226826
2.3,0,1.23333e+27,0.118039,0.0186241
2.35,0,8.48119e+26,0.10002,0.0152005
2.4,0,-1.57733e+27,0.100199,0.0123319
2.45,0,-5.82837e+26,0.0842386,0.0099442
2.5,0,1.87459e+27,0.0843674,0.00797021
2.55,0,2.41782e+26,0.0703631,0.00634915
2.6,0,-2.10484e+27,0.0704545,0.00502684
2.65,0,1.52932e+26,0.0582833,0.00395544
2.7,0,2.25585e+27,0.0583476,0.00309318
2.75,0,-5.74695e+26,0.0478704,0.00240388
2.8,0,-2.3252e+27,0.047915,0.00185656
2.85,0,9.96032e+26,0.0389826,0.0014249
2.9,0,2.32074e+27,0.0390133,0.00108674
2.95,0,-1.39246e+27,0.0314712,0.000823612
3,0,-2.25929e+27,0.031492,0.000620253
3.05,0,1.74586e+27,0.0251856,0.000464145
3.1,0,2.16411e+27,0.0251996,0.000345119
3.15,0,-2.04682e+27,0.0199777,0.000254979
3.2,0,-2.06116e+27,0.019987,0.000187177
3.25,0,2.29541e+27,0.0157055,0.000136522
3.3,0,1.97523e+27,0.0157117,9.89351e-05
3.35,0,-2.50038e+27,0.0122357,7.12336e-05
3.4,0,-1.92625e+27,0.0122398,5.09565e-05
3.45,0,2.67686e+27,0.00944587,3.62148e-05
3.5,0,1.92666e+27,0.00944855,2.55703e-05
3.55,0,-2.8431e+27,0.00722517,1.79367e-05
3.6,0,-1.98003e+27,0.00722698,1.24997e-05
3.65,0,3.01676e+27,0.00547537,8.65362e-06
3.7,0,2.08118e+27,0.00547668,5.95156e-06
3.75,0,-3.21154e+27,0.00411064,4.06622e-06
3.8,0,-2.21761e+27,0.00411172,2.75976e-06
3.85,0,3.4345e+27,0.00305718,1.86065e-06
3.9,0,2.37176e+27,0.00305825,1.24613e-06
3.95,0,-3.68467e+27,0.00225249,8.29017e-07
4,0,-2.5238e+27,0.00225375,5.47841e-07
4.05,0,3.95281e+27,0.00164439,3.5961e-07
4.1,0,2.65429e+27,0.00164607,2.3447e-07
4.15,0,-4.22255e+27,0.00119,1.5185e-07
4.2,0,-2.74629e+27,0.00119237,9.76799e-08
4.25,0,4.47236e+27,0.000854575,6.24101e-08
4.3,0,2.78685e+27,0.000857987,3.96056e-08
4.35,0,-4.67822e+27,0.000610411,2.49633e-08
4.4,0,-2.76745e+27,0.000615359,1.56273e-08
4.45,0,4.81649e+27,0.000435816,9.71627e-09
4.5,0,2.68383e+27,0.000442974,5.99986e-09
4.55,0,-4.86665e+27,0.000314146,3.67967e-09
4.6,0,-2.53518e+27,0.000324447,2.24137e-09
4.65,0,4.81365e+27,0.000232994,1.35614e-09
4.7,0,2.32297e+27,0.000247716,8.15343e-10
4.75,0,-4.64965e+27,0.000183491,4.87665e-10
4.8,0,-2.0499e+27,0.000204379,2.91182e-10
4.85,0,4.3751e+27,0.000159761,1.7537e-10
4.9,0,1.71904e+27,0.000189175,1.09658e-10
4.95,0,-3.99905e+27,0.000158513,7.62971e-11
5,0,-1.33344e+27,0.000199619,6.61186e-11
5.05,0,3.53878e+27,0.000178774,7.62971e-11
5.1,0,8.96249e+26,0.000235783,1.09658e-10
5.15,0,-3.01872e+27,0.000221762,1.7537e-10
5.2,0,-4.11364e+26,0.000300217,2.91182e-10
5.25,0,2.46887e+27,0.00029088,4.87665e-10
5.3,0,-1.15629e+26,0.00039802,8.15343e-10
5.35,0,-1.9226e+27,0.000391854,1.35614e-09
5.4,0,6.7634e+26,0.000537037,2.24137e-09
5.45,0,1.41414e+27,0.000532984,3.67967e-09
5.5,0,-1.25862e+27,0.000728193,5.99986e-09
5.55,0,-9.75764e+26,0.000725518,9.71627e-09
5.6,0,1.84602e+27,0.000985953,1.56273e-08
5.65,0,6.35057e+26,0.000984141,2.49633e-08
5.7,0,-2.4179e+27,0.00132889,3.96056e-08
5.75,0,-4.12301e+26,0.00132758,6.24101e-08
5.8,0,2.95031e+27,0.00178037,9.76799e-08
5.85,0,3.18451e+26,0.00177929,1.5185e-07
5.9,0,-3.41767e+27,0.00236932,2.3447e-07
5.95,0,-3.53893e+26,0.00236826,3.5961e-07
6,0,3.79506e+27,0.00313108,5.47841e-07
6.05,0,5.08246e+26,0.00312982,8.29017e-07
6.1,0,-4.06089e+27,0.00410827,1.24613e-06
6.15,0,-7.6134e+26,0.0041066,1.86065e-06
6.2,0,4.19951e+27,0.00535169,2.75976e-06
6.25,0,1.08532e+27,0.00534932,4.06622e-06
