x,y_lineal,y_fom,y_deim
0,0,0,0
0.0502513,0.00278528,0.00277787,0.00277868
0.100503,0.00559559,0.00558023,0.00558171
0.150754,0.0084536,0.00842931,0.00843119
0.201005,0.0113773,0.0113429,0.0113448
0.251256,0.014378,0.0143322,0.0143339
0.301508,0.0174586,0.0174007,0.0174019
0.351759,0.0206123,0.0205422,0.0205429
0.40201,0.023822,0.0237407,0.0237409
0.452261,0.0270597,0.0269696,0.0269694
0.502513,0.0302875,0.0301923,0.0301919
0.552764,0.0334582,0.0333626,0.033362
0.603015,0.0365172,0.0364265,0.0364257
0.653266,0.0394046,0.039324,0.0393226
0.703518,0.042058,0.0419912,0.0419893
0.753769,0.0444149,0.0443644,0.0443616
0.80402,0.0464165,0.0463823,0.0463789
0.854271,0.0480101,0.0479904,0.0479867
0.904523,0.0491523,0.0491437,0.0491403
0.954774,0.0498109,0.0498098,0.0498073
1.00503,0.0499673,0.0499706,0.0499695
1.05528,0.0496173,0.0496234,0.0496237
1.10553,0.0487716,0.0487805,0.0487822
1.15578,0.0474552,0.047469,0.0474714
1.20603,0.0457068,0.0457283,0.0457308
1.25628,0.0435764,0.0436086,0.0436108
1.30653,0.0411234,0.0411684,0.0411699
1.35678,0.0384137,0.038472,0.038473
1.40704,0.035517,0.0355874,0.0355879
1.45729,0.0325036,0.032583,0.0325834
1.50754,0.0294417,0.0295261,0.0295265
1.55779,0.0263951,0.0264799,0.0264805
1.60804,0.0234208,0.0235021,0.0235026
1.65829,0.020568,0.0206424,0.0206428
1.70854,0.0178767,0.0179421,0.017942
1.75879,0.0153771,0.0154327,0.0154321
1.80905,0.0130902,0.0131361,0.0131351
1.8593,0.0110279,0.011065,0.0110637
1.90955,0.00919409,0.00922354,0.0092222
1.9598,0.00758547,0.00760859,0.00760752
2.01005,0.00619306,0.00621111,0.00621049
2.0603,0.00500344,0.00501749,0.0050174
2.11055,0.00400003,0.00401095,0.00401135
2.1608,0.00316431,0.00317279,0.00317355
2.21106,0.00247689,0.00248345,0.00248441
2.26131,0.0019184,0.00192343,0.00192445
2.31156,0.00147016,0.00147396,0.00147494
2.36181,0.00111474,0.00111756,0.00111844
2.41206,0.000836292,0.000838329,0.000839077
2.46231,0.000620737,0.000622145,0.000622774
2.51256,0.000455841,0.00045675,0.000457272
2.56281,0.000331181,0.000331698,0.000332124
2.61307,0.000238041,0.000238255,0.000238587
2.66332,0.000169265,0.000169245,0.000169483
2.71357,0.000119069,0.000118873,0.000119013
2.76382,8.2858e-05,8.25304e-05,8.25785e-05
2.81407,5.70385e-05,5.66137e-05,5.65832e-05
2.86432,3.88408e-05,3.83452e-05,3.82597e-05
2.91457,2.61628e-05,2.56163e-05,2.55069e-05
2.96482,1.7432e-05,1.68493e-05,1.67505e-05
3.01508,1.14886e-05,1.08805e-05,1.08249e-05
3.06533,7.48912e-06,6.86342e-06,6.87685e-06
3.11558,4.8287e-06,4.19097e-06,4.28896e-06
3.16583,3.07931e-06,2.43346e-06,2.6191e-06
3.21608,1.94219e-06,1.2909e-06,1.55447e-06
3.26633,1.21153e-06,5.56662e-07,8.76877e-07
3.31658,7.47426e-07,9.02269e-08,4.36996e-07
3.36683,4.56021e-07,-2.02679e-07,1.3555e-07
3.41709,2.75152e-07,-3.84502e-07,-9.03565e-08
3.46734,1.6418e-07,-4.96073e-07,-2.77207e-07
3.51759,9.68761e-08,-5.63748e-07,-4.42485e-07
3.56784,5.65265e-08,-6.04326e-07,-5.90416e-07
3.61809,3.26147e-08,-6.28375e-07,-7.16649e-07
3.66834,1.86077e-08,-6.42465e-07,-8.12276e-07
3.71859,1.04972e-08,-6.50624e-07,-8.67342e-07
3.76884,5.8553e-09,-6.55294e-07,-8.73876e-07
3.8191,3.22928e-09,-6.57937e-07,-8.28274e-07
3.86935,1.76089e-09,-6.59414e-07,-7.32873e-07
3.9196,9.49332e-10,-6.60231e-07,-5.965e-07
3.96985,5.05999e-10,-6.60677e-07,-4.33935e-07
4.0201,2.66635e-10,-6.60918e-07,-2.64291e-07
4.07035,1.38901e-10,-6.61047e-07,-1.0856e-07
4.1206,7.15332e-11,-6.61115e-07,1.33339e-08
4.17085,3.64174e-11,-6.6115e-07,8.54991e-08
4.22111,1.83273e-11,-6.61168e-07,9.8569e-08
4.27136,9.11737e-12,-6.61177e-07,5.12965e-08
4.32161,4.48338e-12,-6.61182e-07,-4.90484e-08
4.37186,2.1793e-12,-6.61184e-07,-1.87586e-07
4.42211,1.0471e-12,-6.61185e-07,-3.43937e-07
4.47236,4.97359e-13,-6.61186e-07,-4.95236e-07
4.52261,2.33601e-13,-6.61186e-07,-6.1959e-07
4.57286,1.08507e-13,-6.61186e-07,-6.99435e-07
4.62312,4.99067e-14,-6.61186e-07,-7.24251e-07
4.67337,2.27541e-14,-6.61186e-07,-6.92174e-07
4.72362,1.03445e-14,-6.61186e-07,-6.10249e-07
