x,y_lineal,y_fom,y_deim
0,0,0,0
0.0502513,0.0278528,0.0232112,0.0235341
0.100503,0.0559559,0.0464667,0.0470893
0.150754,0.084536,0.0698164,0.0706922
0.201005,0.113773,0.0933186,0.0943792
0.251256,0.14378,0.117042,0.118199
0.301508,0.174586,0.141062,0.142215
0.351759,0.206123,0.165457,0.166496
0.40201,0.23822,0.190304,0.19112
0.452261,0.270597,0.215668,0.216166
0.502513,0.302875,0.241601,0.241706
0.552764,0.334582,0.26813,0.267808
0.603015,0.365172,0.295256,0.294518
0.653266,0.394046,0.322944,0.32185
0.703518,0.42058,0.351107,0.349751
0.753769,0.444149,0.379583,0.378043
0.80402,0.464165,0.40808,0.406327
0.854271,0.480101,0.436037,0.433832
0.904523,0.491523,0.462334,0.459278
0.954774,0.498109,0.484744,0.480845
1.00503,0.499673,0.499604,0.496486
1.05528,0.496173,0.503508,0.50463
1.10553,0.487716,0.497047,0.504866
1.15578,0.474552,0.484541,0.498049
1.20603,0.457068,0.469712,0.485772
1.25628,0.435764,0.45379,0.469656
1.30653,0.411234,0.436443,0.450873
1.35678,0.384137,0.417177,0.430099
1.40704,0.35517,0.395948,0.407697
1.45729,0.325036,0.37303,0.383893
1.50754,0.294417,0.348704,0.358855
1.55779,0.263951,0.323154,0.332726
1.60804,0.234208,0.296516,0.305655
1.65829,0.20568,0.26897,0.277814
1.70854,0.178767,0.240773,0.24943
1.75879,0.153771,0.212267,0.2208
1.80905,0.130902,0.183879,0.192321
1.8593,0.110279,0.156133,0.164532
1.90955,0.0919409,0.129677,0.138128
1.9598,0.0758547,0.105299,0.113928
2.01005,0.0619306,0.0838361,0.0927187
2.0603,0.0500344,0.0658981,0.0750004
2.11055,0.0400003,0.0515361,0.0607696
2.1608,0.0316431,0.0402264,0.0495333
2.21106,0.0247689,0.0312552,0.0405889
2.26131,0.019184,0.0240719,0.0333373
2.31156,0.0147016,0.018326,0.0274011
2.36181,0.0111474,0.0137749,0.0225617
2.41206,0.00836292,0.010216,0.0186663
2.46231,0.00620737,0.00745061,0.0155842
2.51256,0.00455841,0.00531001,0.0131989
2.56281,0.00331181,0.0036795,0.0114045
2.61307,0.00238041,0.00245556,0.0100953
2.66332,0.00169265,0.00153837,0.00915766
2.71357,0.00119069,0.00086311,0.00847849
2.76382,0.00082858,0.000375334,0.00795834
2.81407,0.000570385,2.10899e-05,0.00752114
2.86432,0.000388408,-0.000229431,0.00712542
2.91457,0.000261628,-0.000402609,0.00676713
2.96482,0.00017432,-0.000524963,0.00646817
3.01508,0.000114886,-0.000606521,0.00626139
3.06533,7.48912e-05,-0.000660285,0.00617427
3.11558,4.8287e-05,-0.00069719,0.00621617
3.16583,3.07931e-05,-0.000718765,0.0063757
3.21608,1.94219e-05,-0.000732594,0.0066219
3.26633,1.21153e-05,-0.000740903,0.00690931
3.31658,7.47426e-06,-0.000743945,0.00718714
3.36683,4.56021e-06,-0.000746011,0.00740687
3.41709,2.75152e-06,-0.000745471,0.00752947
3.46734,1.6418e-06,-0.000744162,0.00753034
3.51759,9.68761e-07,-0.000742758,0.00740132
3.56784,5.65265e-07,-0.000740158,0.0071534
3.61809,3.26147e-07,-0.000738289,0.00681718
3.66834,1.86077e-07,-0.000735699,0.00644057
3.71859,1.04972e-07,-0.000733419,0.00608229
3.76884,5.8553e-08,-0.000731215,0.00580037
3.8191,3.22928e-08,-0.000728788,0.00564078
3.86935,1.76089e-08,-0.00072686,0.00562792
3.9196,9.49332e-09,-0.000724574,0.00576075
3.96985,5.05999e-09,-0.000722768,0.00601339
4.0201,2.66635e-09,-0.000720764,0.00633938
4.07035,1.38901e-09,-0.000719035,0.00667864
4.1206,7.15331e-10,-0.000717323,0.00696556
4.17085,3.64172e-10,-0.000715703,0.00713853
4.22111,1.83271e-10,-0.00071424,0.00714884
4.27136,9.11712e-11,-0.000712774,0.00696945
4.32161,4.48321e-11,-0.00071152,0.00660162
4.37186,2.17911e-11,-0.000710239,0.00607821
4.42211,1.0469e-11,-0.000709171,0.00546122
4.47236,4.9721e-12,-0.000708088,0.00483254
4.52261,2.33382e-12,-0.000707198,0.00427953
4.57286,1.08343e-12,-0.000706315,0.00387926
4.62312,4.97712e-13,-0.000705601,0.00368595
