x,y_lineal,y_fom,y_deim
4.67337,2.26562e-13,-0.000704917,0.00372299
4.72362,1.02293e-13,-0.000704381,0.00397939
4.77387,4.60747e-14,-0.000703894,0.00440935
4.82412,2.03249e-14,-0.000703535,0.0049362
4.87437,9.86922e-15,-0.000703244,0.00546229
4.92462,4.4778e-15,-0.000703065,0.00588587
4.97487,3.37633e-15,-0.000702968,0.00612191
5.02513,3.45646e-15,-0.000702968,0.00612191
5.07538,5.6293e-15,-0.000703065,0.00588587
5.12563,1.02009e-14,-0.000703244,0.00546229
5.17588,2.05904e-14,-0.000703535,0.0049362
5.22613,4.59366e-14,-0.000703894,0.00440935
5.27638,1.01724e-13,-0.000704381,0.00397939
5.32663,2.26183e-13,-0.000704917,0.00372299
5.37688,4.96905e-13,-0.000705601,0.00368595
5.42714,1.08271e-12,-0.000706315,0.00387926
5.47739,2.33329e-12,-0.000707198,0.00427953
5.52764,4.97102e-12,-0.000708088,0.00483254
5.57789,1.04693e-11,-0.000709171,0.00546122
5.62814,2.17912e-11,-0.000710239,0.00607821
5.67839,4.48325e-11,-0.00071152,0.00660162
5.72864,9.11716e-11,-0.000712774,0.00696945
5.77889,1.83271e-10,-0.00071424,0.00714884
5.82915,3.64172e-10,-0.000715703,0.00713853
5.8794,7.1533e-10,-0.000717323,0.00696556
5.92965,1.38901e-09,-0.000719035,0.00667864
5.9799,2.66634e-09,-0.000720764,0.00633938
6.03015,5.05999e-09,-0.000722768,0.00601339
6.0804,9.49332e-09,-0.000724574,0.00576075
6.13065,1.76089e-08,-0.00072686,0.00562792
6.1809,3.22928e-08,-0.000728788,0.00564078
6.23116,5.8553e-08,-0.000731215,0.00580037
6.28141,1.04972e-07,-0.000733419,0.00608229
6.33166,1.86077e-07,-0.000735699,0.00644057
6.38191,3.26147e-07,-0.000738289,0.00681718
6.43216,5.65265e-07,-0.000740158,0.0071534
6.48241,9.68761e-07,-0.000742758,0.00740132
6.53266,1.6418e-06,-0.000744162,0.00753034
6.58291,2.75152e-06,-0.000745471,0.00752947
6.63317,4.56021e-06,-0.000746011,0.00740687
6.68342,7.47426e-06,-0.000743945,0.00718714
6.73367,1.21153e-05,-0.000740903,0.00690931
6.78392,1.94219e-05,-0.000732594,0.0066219
6.83417,3.07931e-05,-0.000718765,0.0063757
6.88442,4.8287e-05,-0.00069719,0.00621617
6.93467,7.48912e-05,-0.000660285,0.00617427
6.98492,0.000114886,-0.000606521,0.00626139
7.03518,0.00017432,-0.000524963,0.00646817
7.08543,0.000261628,-0.000402609,0.00676713
7.13568,0.000388408,-0.000229431,0.00712542
7.18593,0.000570385,2.10899e-05,0.00752114
7.23618,0.00082858,0.000375334,0.00795834
7.28643,0.00119069,0.00086311,0.00847849
7.33668,0.00169265,0.00153837,0.00915766
7.38693,0.00238041,0.00245556,0.0100953
7.43719,0.00331181,0.0036795,0.0114045
7.48744,0.00455841,0.00531001,0.0131989
7.53769,0.00620737,0.00745061,0.0155842
7.58794,0.00836292,0.010216,0.0186663
7.63819,0.0111474,0.0137749,0.0225617
7.68844,0.0147016,0.018326,0.0274011
7.73869,0.019184,0.0240719,0.0333373
7.78894,0.0247689,0.0312552,0.0405889
7.8392,0.0316431,0.0402264,0.0495333
7.88945,0.0400003,0.0515361,0.0607696
7.9397,0.0500344,0.0658981,0.0750004
7.98995,0.0619306,0.0838361,0.0927187
8.0402,0.0758547,0.105299,0.113928
8.09045,0.0919409,0.129677,0.138128
8.1407,0.110279,0.156133,0.164532
8.19095,0.130902,0.183879,0.192321
8.24121,0.153771,0.212267,0.2208
8.29146,0.178767,0.240773,0.24943
8.34171,0.20568,0.26897,0.277814
8.39196,0.234208,0.296516,0.305655
8.44221,0.263951,0.323154,0.332726
8.49246,0.294417,0.348704,0.358855
8.54271,0.325036,0.37303,0.383893
8.59296,0.35517,0.395948,0.407697
8.64322,0.384137,0.417177,0.430099
8.69347,0.411234,0.436443,0.450873
8.74372,0.435764,0.45379,0.469656
8.79397,0.457068,0.469712,0.485772
8.84422,0.474552,0.484541,0.498049
8.89447,0.487716,0.497047,0.504866
8.94472,0.496173,0.503508,0.50463
8.99497,0.499673,0.499604,0.496486
9.04523,0.498109,0.484744,0.480845
9.09548,0.491523,0.462334,0.459278
9.14573,0.480101,0.436037,0.433832
9.19598,0.464165,0.40808,0.406327
9.24623,0.444149,0.379583,0.378043
9.29648,0.42058,0.351107,0.349751
9.34673,0.394046,0.322944,0.32185
9.39698,0.365172,0.295256,0.294518
9.44724,0.334582,0.26813,0.267808
9.49749,0.302875,0.241601,0.241706
9.54774,0.270597,0.215668,0.216166
9.59799,0.23822,0.190304,0.19112
9.64824,0.206123,0.165457,0.166496
9.69849,0.174586,0.141062,0.142215
9.74874,0.14378,0.117042,0.118199
9.79899,0.113773,0.0933186,0.0943792
9.84925,0.084536,0.0698164,0.0706922
9.8995,0.0559559,0.0464667,0.0470893
9.94975,0.0278528,0.0232112,0.0235341
10,0,0,0
