x,exact,ftcs,lax,upwind
0,1,1.39758e+39,1,1
0.05,1,2.24106e+39,1,1
0.1,1,-1.49741e+39,1,1
0.15,1,-2.60428e+39,1,1
0.2,1,2.9558e+39,1,1
0.25,1,1.71195e+39,1,1
0.3,1,-5.57948e+39,1,1
0.35,1,1.35218e+39,1,1
0.4,1,8.29782e+39,1,1
0.45,1,-7.68235e+39,1,1
0.5,1,-8.87792e+39,1,1
0.55,1,1.77644e+40,1,1
0.6,1,3.84501e+39,1,1
0.65,1,-3.03491e+40,1,1
0.7,1,1.10531e+40,1,1
0.75,1,4.12324e+40,1,1
0.8,1,-3.95478e+40,1,1
0.85,1,-4.23912e+40,1,1
0.9,1,8.26362e+40,1,1
0.95,1,2.2072e+40,1,1
1,1,-1.35718e+41,1,1
1.05,0,3.3579e+40,0,0
1.1,0,1.85761e+41,0,0
1.15,0,-1.37001e+41,0,0
1.2,0,-2.0949e+41,0,0
1.25,0,2.93954e+41,0,0
1.3,0,1.73747e+41,0,0
1.35,0,-4.97264e+41,0,0
1.4,0,-3.88876e+40,0,0
1.45,0,7.20942e+41,0,0
1.5,0,-2.34446e+41,0,0
1.55,0,-9.16394e+41,0,0
1.6,0,6.75731e+41,0,0
1.65,0,1.01237e+42,0,0
1.7,0,-1.29359e+42,0,0
1.75,0,-9.19806e+41,0,0
1.8,0,2.06557e+42,0,0
1.85,0,5.416e+41,0,0
1.9,0,-2.93117e+42,0,0
1.95,0,2.13513e+41,0,0
2,0,3.79009e+42,0,0
2.05,0,-1.41525e+42,0,0
2.1,0,-4.50714e+42,0,0
2.15,0,3.09689e+42,0,0
2.2,0,4.92365e+42,0,0
2.25,0,-5.24416e+42,0,0
2.3,0,-4.87431e+42,0,0
2.35,0,7.7902e+42,0,0
2.4,0,4.20689e+42,0,0
2.45,0,-1.06181e+43,0,0
2.5,0,-2.80207e+42,0,0
2.55,0,1.35711e+43,0,0
2.6,0,5.90209e+41,0,0
2.65,0,-1.64689e+43,0,0
2.7,0,2.43725e+42,0,0
2.75,0,1.91287e+43,0,0
2.8,0,-6.22359e+42,0,0
2.85,0,-2.13872e+43,0,0
2.9,0,1.06502e+43,0,0
2.95,0,2.31216e+43,0,0
3,0,-1.5547e+43,0,0
3.05,0,-2.42658e+43,0,0
3.1,0,2.07091e+43,0,0
3.15,0,2.48199e+43,0,0
3.2,0,-2.59164e+43,0,0
3.25,0,-2.48526e+43,0,0
3.3,0,3.09549e+43,0,0
3.35,0,2.44933e+43,0,0
3.4,0,-3.56361e+43,0,0
3.45,0,-2.39169e+43,0,0
3.5,0,3.98123e+43,0,0
3.55,0,2.3321e+43,0,0
3.6,0,-4.3386e+43,0,0
3.65,0,-2.28988e+43,0,0
3.7,0,4.63112e+43,0,0
3.75,0,2.28106e+43,0,0
3.8,0,-4.85877e+43,0,0
3.85,0,-2.3158e+43,0,0
3.9,0,5.02484e+43,0,0
3.95,0,2.3964e+43,0,0
4,0,-5.13438e+43,0,0
4.05,0,-2.51625e+43,0,0
4.1,0,5.19242e+43,0,0
4.15,0,2.65996e+43,0,0
4.2,0,-5.20262e+43,0,0
4.25,0,-2.80453e+43,0,0
4.3,0,5.16641e+43,0,0
4.35,0,2.92165e+43,0,0
4.4,0,-5.08299e+43,0,0
4.45,0,-2.98071e+43,0,0
4.5,0,4.95001e+43,0,0
4.55,0,2.95226e+43,0,0
4.6,0,-4.76498e+43,0,0
4.65,0,-2.81138e+43,0,0
4.7,0,4.52702e+43,0,0
4.75,0,2.54069e+43,0,0
4.8,0,-4.2385e+43,0,0
4.85,0,-2.13259e+43,0,0
4.9,0,3.90627e+43,0,0
4.95,0,1.59047e+43,0,0
5,0,-3.54211e+43,0,0
5.05,0,-9.28832e+42,0,0
5.1,0,3.16228e+43,0,0
5.15,0,1.723e+42,0,0
5.2,0,-2.78621e+43,0,0
5.25,0,6.46422e+42,0,0
5.3,0,2.43449e+43,0,0
5.35,0,-1.48931e+43,0,0
5.4,0,-2.12656e+43,0,0
5.45,0,2.3163e+43,0,0
5.5,0,1.87853e+43,0,0
5.55,0,-3.08857e+43,0,0
5.6,0,-1.7015e+43,0,0
5.65,0,3.77165e+43,0,0
5.7,0,1.60053e+43,0,0
5.75,0,-4.33783e+43,0,0
5.8,0,-1.5746e+43,0,0
5.85,0,4.76767e+43,0,0
5.9,0,1.61717e+43,0,0
5.95,0,-5.05059e+43,0,0
6,0,-1.71741e+43,0,0
6.05,0,5.18442e+43,0,0
6.1,0,1.86155e+43,0,0
6.15,0,-5.17423e+43,0,0
6.2,0,-2.03424e+43,0,0
6.25,0,5.03078e+43,0,0
6.3,0,2.21953e+43,0,0
6.35,0,-4.76878e+43,0,0
6.4,0,-2.40162e+43,0,0
6.45,0,4.40547e+43,0,0
6.5,0,2.56525e+43,0,0
6.55,0,-3.95964e+43,0,0
6.6,0,-2.69604e+43,0,0
6.65,0,3.4511e+43,0,0
6.7,0,2.7809e+43,0,0
6.75,0,-2.90055e+43,0,0
6.8,0,-2.80866e+43,0,0
6.85,0,2.32953e+43,0,0
6.9,0,2.77105e+43,0,0
6.95,0,-1.7603e+43,0,0
7,0,-2.66374e+43,0,0
7.05,0,1.21524e+43,0,0
7.1,0,2.4874e+43,0,0
7.15,0,-7.15778e+42,0,0
7.2,0,-2.2483e+43,0,0
7.25,0,2.809e+42,0,0
7.3,0,1.95832e+43,0,0
7.35,0,7.45389e+41,0,0
7.4,0,-1.63414e+43,0,0
7.45,0,-3.41393e+42,0,0
7.5,0,1.29567e+43,0,0
7.55,0,5.17293e+42,0,0
7.6,0,-9.6382e+42,0,0
7.65,0,-6.06935e+42,0,0
7.7,0,6.58105e+42,0,0
7.75,0,6.21439e+42,0,0
7.8,0,-3.94367e+42,0,0
7.85,0,-5.76839e+42,0,0
7.9,0,1.83068e+42,0,0
7.95,0,4.91933e+42,0,0
8,0,-2.84458e+41,0,0
8.05,0,-3.85851e+42,0,0
8.1,0,-7.13648e+41,0,0
8.15,0,2.75775e+42,0,0
8.2,0,1.23309e+42,0,0
8.25,0,-1.75182e+42,0,0
8.3,0,-1.37744e+42,0,0
8.35,0,9.28521e+41,0,0
8.4,0,1.26484e+42,0,0
8.45,0,-3.27436e+41,0,0
8.5,0,-1.00927e+42,0,0
8.55,0,-5.37553e+40,0,0
8.6,0,7.06077e+41,0,0
8.65,0,2.47631e+41,0,0
