x,exact,ftcs,lax,upwind
6.25,0,3.04124e+38,9.17669e-06,2.51431e-11
6.3,0,-6.31267e+38,9.17669e-06,5.36831e-11
6.35,0,-3.35777e+38,1.7591e-05,1.13305e-10
6.4,0,5.93165e+38,1.7591e-05,2.36396e-10
6.45,0,3.6498e+38,3.3125e-05,4.87521e-10
6.5,0,-5.41907e+38,3.3125e-05,9.9379e-10
6.55,0,-3.89526e+38,6.1265e-05,2.00229e-09
6.6,0,4.80329e+38,6.1265e-05,3.98728e-09
6.65,0,4.07644e+38,0.000111272,7.84742e-09
6.7,0,-4.11304e+38,0.000111272,1.52637e-08
6.75,0,-4.17975e+38,0.000198426,2.93402e-08
6.8,0,3.37651e+38,0.000198426,5.57336e-08
6.85,0,4.1954e+38,0.000347361,1.04618e-07
6.9,0,-2.62099e+38,0.000347361,1.9405e-07
6.95,0,-4.11715e+38,0.000596838,3.55648e-07
7,0,1.87308e+38,0.000596838,6.44039e-07
7.05,0,3.94267e+38,0.00100636,1.15232e-06
7.1,0,-1.15877e+38,0.00100636,2.03695e-06
7.15,0,-3.67412e+38,0.00166493,3.55731e-06
7.2,0,5.03247e+37,0.00166493,6.13731e-06
7.25,0,3.3191e+38,0.00270217,1.046e-05
7.3,0,7.00545e+36,0.00270217,1.76104e-05
7.35,0,-2.8913e+38,0.00430166,2.92866e-05
7.4,0,-5.40972e+37,0.00430166,4.8108e-05
7.45,0,2.41058e+38,0.0067158,7.80544e-05
7.5,0,8.94647e+37,0.00671578,0.000125081
7.55,0,-1.90209e+38,0.0102809,0.000197964
7.6,0,-1.12354e+38,0.0102809,0.000309432
7.65,0,1.39432e+38,0.0154306,0.000477655
7.7,0,1.22895e+38,0.0154305,0.000728147
7.75,0,-9.16309e+37,0.0227034,0.00109614
7.8,0,-1.22149e+38,0.0227033,0.00162947
7.85,0,4.94334e+37,0.0327426,0.00239192
7.9,0,1.1203e+38,0.0327423,0.00346702
7.95,0,-1.48782e+37,0.0462815,0.00496215
8,0,-9.50971e+37,0.0462809,0.00701261
8.05,0,-1.08272e+37,0.0641131,0.00978547
8.1,0,7.4244e+37,0.0641119,0.0134826
8.15,0,2.74261e+37,0.087039,0.0183425
8.2,0,-5.23371e+37,0.0870367,0.0246398
8.25,0,-3.55862e+37,0.1158,0.0326826
8.3,0,3.18721e+37,0.115795,0.0428065
8.35,0,3.67335e+37,0.150989,0.0553643
8.4,0,-1.47038e+37,0.15098,0.0707127
8.45,0,-3.2781e+37,0.192958,0.0891946
8.5,0,1.89658e+36,0.192943,0.111118
8.55,0,2.58068e+37,0.241728,0.136733
8.6,0,6.2867e+36,0.241699,0.166207
8.65,0,-1.77434e+37,0.296911,0.199605
8.7,0,-1.02678e+37,0.296861,0.236866
8.75,0,1.01341e+37,0.357677,0.277789
8.8,0,1.09436e+37,0.357589,0.32203
8.85,0,-3.9927e+36,0.422749,0.369101
8.9,0,-9.43429e+36,0.4226,0.418384
8.95,0,-2.21249e+35,0.490466,0.46915
9,1,6.84477e+36,0.490216,0.520593
9.05,1,2.52554e+36,0.558886,0.571865
9.1,1,-4.08105e+36,0.558476,0.622118
9.15,1,-3.27072e+36,0.62593,0.670547
9.2,1,1.74902e+36,0.625272,0.716426
9.25,1,2.97046e+36,0.689551,0.759144
9.3,1,-1.3812e+35,0.688514,0.798231
9.35,1,-2.14754e+36,0.747893,0.833368
9.4,1,-7.2622e+35,0.746293,0.864393
9.45,1,1.22427e+36,0.799421,0.891292
9.5,1,9.90162e+35,0.797007,0.914186
9.55,1,-4.68972e+35,0.84301,0.933304
9.6,1,-8.71233e+35,0.839445,0.948956
9.65,1,-6.08536e+33,0.877959,0.961505
9.7,1,5.76809e+35,0.87281,0.971336
9.75,1,2.11445e+35,0.903956,0.978831
9.8,1,-2.56685e+35,0.896683,0.984345
9.85,1,-2.31588e+35,0.920988,0.988192
9.9,1,-7.83052e+33,0.910949,0.990624
9.95,1,1.76939e+35,0.92923,0.991833
