x,y_lineal,y_fom,y_deim
6.38191,1.63074e-07,-8.07595e-05,0.000106349
6.43216,2.82632e-07,-8.06441e-05,0.000175223
6.48241,4.84381e-07,-8.04358e-05,0.0002544
6.53266,8.20899e-07,-8.00754e-05,0.000334722
6.58291,1.37576e-06,-7.94681e-05,0.000407067
6.63317,2.2801e-06,-7.84673e-05,0.000463654
6.68342,3.73713e-06,-7.6845e-05,0.000499162
6.73367,6.05764e-06,-7.42545e-05,0.000511476
6.78392,9.71096e-06,-7.01744e-05,0.000501965
6.83417,1.53966e-05,-6.38285e-05,0.000475302
6.88442,2.41435e-05,-5.40815e-05,0.000438902
6.93467,3.74456e-05,-3.92889e-05,0.000402108
6.98492,5.74429e-05,-1.71025e-05,0.000375267
7.03518,8.71601e-05,1.57807e-05,0.000368812
7.08543,0.000130814,6.39543e-05,0.000392525
7.13568,0.000194204,0.00013371,0.00045516
7.18593,0.000285192,0.000233543,0.000564618
7.23618,0.00041429,0.000374774,0.000728836
7.28643,0.000595343,0.000572257,0.0009574
7.33668,0.000846324,0.000845192,0.00126368
7.38693,0.00119021,0.00121805,0.00166711
7.43719,0.0016559,0.0017215,0.00219512
7.48744,0.00227921,0.0023934,0.00288448
7.53769,0.00310369,0.0032798,0.00378177
7.58794,0.00418146,0.00443571,0.00494336
7.63819,0.0055737,0.00592586,0.00643499
7.68844,0.00735079,0.00782526,0.00833155
7.73869,0.00959199,0.0102195,0.0107171
7.78894,0.0123845,0.0132045,0.0136853
7.8392,0.0158215,0.0168863,0.0173408
7.88945,0.0200001,0.0213793,0.0217999
7.9397,0.0250172,0.026805,0.0271902
7.98995,0.0309653,0.0332865,0.0336445
8.0402,0.0379274,0.0409392,0.0412858
8.09045,0.0459705,0.0498524,0.0502046
8.1407,0.0551396,0.0600652,0.0604328
8.19095,0.0654508,0.0715439,0.0719246
8.24121,0.0768853,0.0841732,0.0845532
8.29146,0.0893833,0.097764,0.0981233
8.34171,0.10284,0.112075,0.112395
8.39196,0.117104,0.126835,0.127107
8.44221,0.131975,0.141771,0.142
8.49246,0.147209,0.156613,0.156827
8.54271,0.162518,0.171114,0.171354
8.59296,0.177585,0.185039,0.185362
8.64322,0.192069,0.198175,0.198637
8.69347,0.205617,0.210315,0.210961
8.74372,0.217882,0.221262,0.222104
8.79397,0.228534,0.23082,0.231814
8.84422,0.237276,0.23878,0.23981
8.89447,0.243858,0.244894,0.245784
8.94472,0.248087,0.248849,0.249415
8.99497,0.249837,0.250277,0.250411
9.04523,0.249054,0.248831,0.248568
9.09548,0.245761,0.244334,0.243828
9.14573,0.240051,0.236885,0.236325
9.19598,0.232083,0.226857,0.226375
9.24623,0.222075,0.214788,0.214423
9.29648,0.21029,0.201239,0.200971
9.34673,0.197023,0.186712,0.186501
9.39698,0.182586,0.17161,0.171432
9.44724,0.167291,0.15624,0.156094
9.49749,0.151437,0.140828,0.140728
9.54774,0.135298,0.125533,0.125501
9.59799,0.11911,0.110461,0.110514
9.64824,0.103062,0.0956791,0.0958201
9.69849,0.0872931,0.0812175,0.0814361
9.74874,0.0718901,0.0670804,0.0673515
9.79899,0.0568866,0.0532483,0.0535363
9.84925,0.042268,0.039683,0.0399473
9.8995,0.027978,0.026331,0.0265328
9.94975,0.0139264,0.0131274,0.0132366
10,0,0,0
